Year,Temp,Prec,PDSI
1981,15.151,277.94,1.1328
1982,16.954,218.92,0.4759
1983,16.814,234.5,1.5282
1984,14.838,226.32,-0.14691
1985,15.589,254.01,0.64577
1986,16.475,154.65,-0.41813
1987,14.835,281.91,0.27574
1988,15.802,259.07,2.0857
1989,17.49,124.29,-1.6581
1990,16.94,173.73,-2.3059
1991,15.332,177.62,-2.5296
1992,16.732,254.15,-0.93557
1993,16.286,239.45,0.22326
1994,17.388,222.7,2.1582
1995,16.927,177.89,0.50589
1996,16.113,196.56,-1.1492
1997,16.274,288.37,-0.40663
1998,16.89,154.85,-0.9027
1999,17.333,203.36,0.25231
2000,16.786,250.55,1.2251
2001,16.958,224.14,2.7187
2002,16.439,250.21,0.62356
2003,18.26,159.8,-1.6361
2004,16.5,155.39,-1.5081
2005,17.625,169.5,-1.9664
2006,18.375,187.42,-1.006
2007,16.671,309.59,0.59186
