Year,GHDCore
1981,-4.7309
1982,-10.031
1983,-3.7809
1984,3.6691
1985,-2.1684
1986,-2.1434
1987,1.3316
1988,-5.1684
1989,-17.281
1990,-13.318
1991,-3.8434
1992,-10.843
1993,-12.643
1994,-15.368
1995,-9.5934
1996,-5.9559
1997,-12.518
1998,-12.831
1999,-12.306
2000,-14.543
2001,-10.868
2002,-10.093
2003,-31.393
2004,-8.4934
2005,-16.256
2006,-14.405
2007,-20.909
