,0
0,8.750182320640755
1,-18.663104440464355
2,-12.098384819170183
3,-9.709866565324383
4,8.206868058885657
5,7.20308775631898
6,-37.944890357504825
7,-47.324035606115935
8,-2.456800823492656
9,9.337456745337676
10,-37.013024776837185
11,-30.41884367465643
12,4.310601435345215
13,-4.455700688133015
14,2.2716140345415323
15,27.086132800478392
16,-3.7163067664710283
17,-15.579645183687433
18,-1.9961677211143378
19,3.118297877791786
20,-20.999845231243036
21,-1.1430309016996496
22,20.808718608041126
23,-12.236453301704127
24,5.056413905736311
25,23.335172523612265
26,-63.00952826801431
27,28.72066725815634
28,-87.13531210204538
29,-9.267084315173246
30,-42.05688265038185
31,10.248926832924036
32,-58.966821534394754
33,-43.98945848781446
34,1.1782421036967168
35,-70.28512809562507
36,-45.65198352875062
37,-34.64801541130904
38,-4.288573933321921
39,1.9416751052968304
40,-6.351644205574359
41,-23.190321226489836
42,17.523234519560393
43,-8.233554855171572
44,3.179723976574047
45,7.41910679812863
46,-12.463571724476022
47,-23.59143171062645
48,-10.543533886502207
49,-16.245925186737328
50,-13.067387772422927
51,-17.527469264281617
52,12.540835660828714
53,-47.7076019197643
54,-24.115691924069242
55,-2.338597659953342
56,22.917862647763425
57,-20.776351428734216
58,-3.399206867472471
59,-22.19623465237207
60,-10.862908116793548
61,-16.998522250672316
62,-19.198059318151792
63,4.016558348903304
64,-17.474518490049753
65,-15.323904043664543
66,34.658347426366426
67,-30.992930560985954
