Year,Bor,Bur,Lan
1613,7.993333333,-1.921333333,-9.627225131
1614,,9.078666667,-2.127225131
1615,1.493333333,-4.921333333,-13.42722513
1616,4.493333333,-13.92133333,-18.52722513
1617,-1.506666667,6.078666667,-13.62722513
1618,9.993333333,9.078666667,-4.627225131
1619,,-0.921333333,-15.62722513
1620,12.99333333,2.078666667,-11.52722513
1621,18.99333333,19.07866667,-7.427225131
1622,,-2.921333333,
1623,-1.006666667,-11.92133333,-9.327225131
1624,,-11.92133333,-12.92722513
1625,,6.078666667,-7.127225131
1626,13.49333333,0.078666667,-9.527225131
1627,,17.07866667,4.072774869
1628,,18.27866667,3.172774869
1629,3.993333333,0.078666667,0.872774869
1630,,-6.921333333,-7.327225131
1631,,-6.921333333,-11.92722513
1632,,8.078666667,2.772774869
1633,10.49333333,10.07866667,-2.627225131
1634,,6.078666667,-6.727225131
1635,,-1.921333333,-12.82722513
1636,,-21.92133333,-13.12722513
1637,,-23.92133333,-17.62722513
1638,,-16.92133333,-11.62722513
1639,,-6.921333333,-12.62722513
1640,9.493333333,5.078666667,-10.12722513
1641,,6.078666667,-7.627225131
1642,,6.078666667,2.372774869
1643,,4.078666667,-4.627225131
1644,,-10.92133333,-8.027225131
1645,,-15.92133333,-13.72722513
1646,,-9.921333333,-14.72722513
1647,,-8.921333333,-10.12722513
1648,-0.006666667,5.078666667,-0.627225131
1649,,11.07866667,0.372774869
1650,10.49333333,,-9.727225131
1651,,-4.921333333,-14.12722513
1652,,-5.921333333,-3.727225131
1653,-0.506666667,-15.92133333,-7.627225131
1654,,5.078666667,-3.527225131
1655,,-3.921333333,-13.12722513
1656,,0.078666667,
1657,,-4.921333333,-4.027225131
1658,,2.078666667,0.572774869
1659,,-16.92133333,-14.42722513
1660,,-17.92133333,-13.92722513
1661,,-14.92133333,-7.527225131
1662,-6.506666667,-4.921333333,-8.427225131
1663,2.493333333,11.07866667,2.472774869
1664,,-6.921333333,-5.727225131
1665,-4.506666667,-11.92133333,-6.027225131
1666,-13.20666667,-16.92133333,-4.627225131
1667,,1.078666667,4.672774869
1668,,-6.921333333,-7.527225131
1669,,-13.92133333,-9.027225131
1670,,-4.921333333,-12.32722513
1671,,-10.92133333,-4.927225131
1672,,2.078666667,-3.027225131
1673,,8.078666667,7.372774869
1674,,-6.921333333,-4.627225131
1675,33.99333333,17.07866667,12.27277487
1676,,-15.92133333,-1.527225131
1677,,0.078666667,-4.627225131
1678,,-6.921333333,0.572774869
1679,,-0.921333333,-1.927225131
1680,,-15.92133333,-5.627225131
1681,,-17.92133333,-7.327225131
1682,,1.078666667,0.872774869
1683,,-13.92133333,-5.927225131
1684,,-21.92133333,-4.927225131
1685,,-14.92133333,-7.627225131
1686,,-22.92133333,-4.827225131
1687,,2.078666667,6.372774869
1688,,1.078666667,7.672774869
1689,,2.478666667,0.972774869
1690,,-13.02133333,-0.427225131
1691,-5.006666667,-2.521333333,-5.627225131
1692,,9.478666667,5.372774869
1693,,2.478666667,
1694,,-0.521333333,-4.727225131
1695,,-4.521333333,7.372774869
1696,9.493333333,-9.021333333,0.372774869
1697,-6.506666667,-0.521333333,-2.627225131
1698,20.49333333,11.97866667,13.27277487
