,GHDmean,GHDcore,Als,Bor,Bur,Cha2,Lan,LLV,SRv,Swi
1901,196.1542907713456,196.1542907713456,353.8854593870758,162.05516028461938,208.09677870616804,162.3614602464329,159.34662077565216,126.63545532699341,191.84668927511262,417.63109631826
1902,205.33344829117888,205.33344829117888,274.49302027051215,194.33711674776433,217.41563974682367,180.77873038367605,154.2639026774225,135.9859033372867,176.28626405940594,354.6825931715039
1903,239.7804131669771,239.7804131669771,335.5052764694781,197.7660998828085,256.39178976354304,235.18987937617823,226.51134478750697,200.71547136726096,273.8411332998456,387.5800607931479
1904,172.02347889584914,172.02347889584914,192.08858674379198,135.60386695867723,191.761927332115,178.43024687437529,164.16290289778556,126.83018790128915,214.00740597103936,277.37761833775585
1905,231.99370358703595,231.99370358703595,318.8283447465707,206.47071405087644,198.48987737808747,190.16645275220102,184.58242963919608,162.3740798711998,234.563195285683,400.4127310183427
1906,105.66809494589177,105.66809494589177,229.27142158008726,58.625625919181985,118.17630552632018,117.43919918228741,100.58564896040554,30.053496538012116,112.69549173871215,166.7248378333947
1907,160.5767145154426,160.5767145154426,215.5618874552503,127.33045466162699,159.3942580227077,143.238549355566,63.771802924199044,127.550928295046,87.10948538397943,338.68976848896637
1908,226.2489911894496,226.2489911894496,320.65351332359603,205.34446122267542,237.98425919714578,223.07880768945165,165.60554966940862,156.91573739787384,191.3263792983475,356.179148533828
1909,237.1277737654996,237.1277737654996,355.1878022832283,227.52913859744814,237.4764630921029,223.1786492581376,126.48066621718837,210.04987384288827,185.5397411585766,397.10658362295084
1910,277.9777338921978,277.9777338921978,459.87316154229046,236.37197467443755,381.9495482625601,334.12380807393475,160.98794616369298,194.64251411349466,140.75568162091406,522.1448804321642
1911,150.6682693383868,150.6682693383868,192.2313387701331,148.59938350461996,151.17677728897178,127.86748074168351,80.10692954634735,131.21421279652913,99.45869164044217,245.57391009301475
1912,288.9801066150157,288.9801066150157,375.6042048360195,274.54409649147703,326.5708868329532,292.7294248583029,195.24487671684952,234.62351732462338,259.8333603244863,456.771393692462
1913,174.39893309686974,174.39893309686974,280.9888890524221,181.289347298982,245.89764758248288,221.23970691328856,85.05000872319192,90.78954306656993,98.58507751601401,269.51672578082764
1914,263.13518112267224,263.13518112267224,409.2068681632564,160.3195749366412,264.97216238068296,230.97853194837543,225.9474304386983,184.16563904793273,279.82395791255846,498.84583584884683
1915,201.61090753205494,201.61090753205494,276.48699542663354,140.5797638863885,210.0723640004235,176.71930146517616,133.63020675910315,156.69986481776266,172.80915322692786,375.012996173326
1916,212.75869318041595,212.75869318041595,375.1742430934894,130.1654255588698,276.5505595105797,251.02916688417528,163.24968376638108,121.61189272469082,133.03804687297577,405.825882938785
1917,258.3648111639084,258.3648111639084,422.33769080458745,202.20647140958755,314.89473505957994,283.0812986429785,174.00887255139,159.34470431596512,199.83968561849537,472.8995815632941
1918,148.4196239049044,148.4196239049044,214.35819814978822,72.14517936841156,150.81899670239747,129.55846032307178,108.97196154596854,89.94173139252361,104.66843764369301,322.50628272317346
1919,135.3389339385209,135.3389339385209,213.8213488542905,112.66995834268867,133.18937739162013,113.57892663128231,53.340311881812134,84.84580306936134,52.33856504105631,247.04942210122178
1920,188.7901675876675,188.7901675876675,248.6382170236025,165.46810834678658,181.32507882341383,161.52290020565306,146.245998191841,136.81428563938258,175.24388987015948,303.8491669147425
1921,157.2846296015326,157.2846296015326,232.4420264961689,178.69486308593875,202.3083808580598,168.90780684763868,99.43928535781066,139.43522063234897,113.4838974977751,279.17736576082785
1922,230.36518399893254,230.36518399893254,334.99349785478694,154.53191796436724,245.48035438686628,217.52503244321073,207.62146028069736,149.15128998560516,215.26069110227297,444.5307980834742
1923,122.83415101613238,122.83415101613238,170.50453426775456,84.3638256575562,121.77636272341667,121.57598583969711,69.06937517864536,76.94690468520848,96.83960840702886,222.4063678782541
1924,229.49938246770884,229.49938246770884,326.6705172680778,162.15714354943051,230.69857540524794,217.08155089795213,191.07937686752834,140.33688237382583,243.29034671077784,352.5515887555145
1925,218.56913045021378,218.56913045021378,280.36675372458467,170.4056508086824,240.50718551269173,235.74993546031686,156.91359309855272,174.84293311001184,203.64735181857642,327.6478698418346
1926,182.84387779990675,182.84387779990675,307.0004933497691,143.86617288456918,161.5676281499568,158.39459391933616,128.5256277089499,151.54412699619044,101.18126237043234,298.6354177292189
1927,303.0893479273448,303.0893479273448,421.73647733800516,271.5366378517911,306.4262506411618,286.27700783488,130.01718539298378,272.9142402245434,178.71244229019524,581.6920578682785
1928,141.24165973510907,141.24165973510907,240.73931761536653,88.42785278072263,169.81666842827963,153.3551609273983,77.88433864401203,81.36822204078616,92.08473604416318,283.2577380003308
1929,186.38169228163434,186.38169228163434,278.39246701814744,118.51937739595773,217.66064146995916,191.29826308157536,107.80759908291941,106.76756856626857,125.18589764019079,373.104218869137
1930,270.55766470252934,270.55766470252934,341.6542672980046,247.77344198071538,293.0232262154603,278.5186035037191,190.74236890972236,232.95747921526566,192.59029406067347,470.5934129803669
1931,265.36153238920275,265.36153238920275,450.8084352646497,267.2206913066373,318.92408095457495,293.1649581780369,111.307514298385,235.64426502439687,139.4042007907893,480.46148001835115
1932,262.7483596223757,262.7483596223757,321.0911941775099,375.77925490149505,219.94884580102467,182.61643954706096,276.9144337968962,202.0258553031514,283.2047635194727,378.16668269958683
1933,165.2739160551917,165.2739160551917,262.6295661563095,138.98046071153624,192.65111291066543,177.01231947924637,142.61582303815308,91.69178458129227,144.57798682677335,335.8950294849923
